Navigation Status,MMSI,Longitude,Latitude,Ship_Type
3,525023329,106.091325,-5.905955,Unknown ship type
0,525200031,105.99310166666666,-5.95053,Tankers
15,525500603,105.97606333333331,-5.925016666666667,Pilot
0,636015031,105.71658333333332,54.18710333333333,Unknown ship type
0,525100582,69.20213,68.680135,Cargo 
8,525700820,106.10977333333334,-5.84136,Tugs
0,370385000,105.94211,-5.921051666666667,Unknown ship type
15,525016693,105.93865,-6.009611666666666,Unknown ship type
0,525501944,-91.838135,-95.10962666666668,Pilot
15,525002068,105.987595,-5.9565166666666665,Passenger
0,525100805,105.98730833333332,-5.949153333333333,Cargo 
0,525001136,105.99882,-5.9366916666666665,Passenger
0,525022129,106.10278,-5.918615,Unknown ship type
0,525501989,-91.47400166666668,-95.56896,Pilot
0,372895000,105.71354166666669,-5.940456666666667,Sailing
8,525300471,106.003655,-5.9060966666666666,Fishing
0,636023386,105.31685333333331,-5.550173333333333,Unknown ship type
0,525300118,-91.762535,-95.82037333333334,Fishing
0,525024001,105.74369166666666,-6.283656666666666,Unknown ship type
8,525003465,105.99222,-5.923698333333333,Passenger
1,441838000,105.94198166666666,-5.984178333333333,Unknown ship type
0,525015491,105.99093,-5.95482,Unknown ship type
0,525701151,-91.929335,-94.62519666666668,Tugs
0,636025284,69.07210333333333,65.11355333333333,Unknown ship type
0,525007397,105.97277,-5.951956666666667,Passenger
0,525701047,106.396195,-5.841928333333334,Tugs
1,525601570,106.11195166666668,-5.954513333333334,Search and rescue vessels
2,525501780,106.10772333333334,-5.978928333333333,Pilot
0,525019467,105.94368666666666,-5.912913333333333,Unknown ship type
0,525124884,80.44341,67.63388,Unknown ship type
0,525301368,106.05326,-5.966733333333333,Fishing
0,526250218,106.12089666666668,-5.955558333333333,Unknown ship type
0,525016449,-91.47266833333332,-95.56997166666666,Unknown ship type
1,525701011,106.1122,-6.587261666666667,Tugs
5,525200301,106.10855833333332,-5.980611666666666,Tankers
0,525300577,-91.678855,-95.06219666666668,Fishing
1,525300614,106.09749666666669,-5.859525,Fishing
15,525024056,105.75183166666666,-5.378321666666666,Unknown ship type
1,477899200,105.90573833333332,-6.020483333333333,Sailing
15,525200529,106.11392166666668,-5.954011666666666,Tankers
5,525900437,106.11103833333334,-5.981093333333333,Other types of vessels
8,525701439,105.85420166666668,-6.367391666666666,Tugs
1,525701006,105.92586666666666,-6.0183333333333335,Tugs
0,525401907,-92.06688166666666,-93.94530666666668,High-speed craft
1,371168000,105.928545,-5.989755,Unknown ship type
1,525012201,105.59622833333331,-5.25533,Unknown ship type
0,566726000,106.57066666666668,-5.8357,Unknown ship type
0,525401151,-99.981415,-96.01117833333332,High-speed craft
0,525400839,105.97923833333331,-5.961975,High-speed craft
0,525200941,106.29167666666666,-5.848035,Tankers
0,525100600,105.99176833333334,-5.946468333333334,Cargo 
0,525009234,-91.552935,-95.367565,Passenger
0,525400425,-91.56264166666666,-95.79172166666666,High-speed craft
0,525601581,-91.75176166666668,-95.59885333333334,Search and rescue vessels
0,525300595,106.06242,-5.86842,Fishing
0,525300391,105.79876,-5.868978333333334,Fishing
0,525010092,106.10762333333334,64.79793,Unknown ship type
5,525023151,106.08508,-6.377186666666667,Unknown ship type
1,525121072,106.10901,-5.8284416666666665,Unknown ship type
1,525001125,105.98798166666668,-5.94432,Passenger
1,525121052,106.09445,-5.273768333333333,Unknown ship type
1,525113030,106.04616666666666,-5.428421666666667,Unknown ship type
1,525300013,106.10322833333332,-5.8702016666666665,Fishing
0,525009270,-93.287015,-94.20786333333334,Passenger
1,525104002,106.00677833333332,-6.123005,Cargo 
1,525100008,105.95421166666668,-5.968425,Cargo 
1,525106002,106.05637333333334,-5.860728333333333,Cargo 
1,525012321,106.13091,-5.949098333333334,Unknown ship type
5,563016600,105.95687666666667,-6.01045,Unknown ship type
1,525701087,106.12903333333334,-5.9411,Tugs
0,525023144,105.90916333333334,-5.91363,Unknown ship type
0,525015860,-91.64488166666666,-95.56843833333332,Unknown ship type
0,525015868,105.79645166666668,-5.83124,Unknown ship type
5,636020122,105.95736,-6.010716666666666,Unknown ship type
1,525002061,105.98805333333334,-5.952483333333333,Passenger
1,525016024,106.13710666666668,-5.9513316666666665,Unknown ship type
1,525016008,105.94450833333332,-5.970483333333333,Unknown ship type
1,525002087,105.96183166666668,-5.954645,Passenger
1,525013032,106.08244666666668,-5.472161666666667,Unknown ship type
0,525020136,-91.55168166666668,-95.74907666666668,Unknown ship type
0,525200129,-91.770855,-95.36348166666669,Tankers
